id	dx	rr	acc	cond
4	0.04	1	1	1
4	-0.04	1	0	2
4	-0.53	0	1	1
4	-0.53	1	0	2
4	-0.36	0	1	2
4	0.44	1	1	1
4	0.53	0	0	2
4	0.69	1	1	2
4	0.93	0	0	2
4	-1.09	0	1	2
4	-1.25	0	1	2
4	-1.25	0	1	2
4	1.82	1	1	2
4	-0.77	0	1	1
4	0.53	0	0	1
4	1.9	1	1	2
4	-1.41	0	1	2
4	1.9	1	1	2
4	1.17	1	1	1
4	1.82	1	1	2
4	-1.01	0	1	1
4	1.25	0	0	1
4	-1.41	1	0	2
4	-1.82	0	1	2
4	-1.09	0	1	1
4	1.74	1	1	2
4	-1.82	0	1	2
4	1.74	1	1	2
4	-1.09	0	1	1
4	2.06	1	1	1
4	-1.74	0	1	2
4	1.98	1	1	1
4	1.58	0	0	2
4	2.14	0	0	2
4	-1.66	0	1	2
4	2.55	0	0	2
4	-1.66	0	1	2
4	2.95	1	1	2
4	1.9	1	1	1
4	-0.93	0	1	1
4	2.95	1	1	2
4	1.74	1	1	1
4	-1.58	0	1	2
4	2.87	1	1	2
4	-1.49	0	1	2
4	2.79	0	0	2
4	-0.85	0	1	1
4	1.58	1	1	1
4	-1.58	0	1	2
4	3.27	1	1	2
4	-1.49	0	1	2
4	0.04	0	0	1
4	1.66	1	1	1
4	3.19	1	1	2
4	1.41	1	1	1
4	-0.36	0	1	1
4	0.85	0	0	1
4	1.82	1	1	1
4	-0.2	0	1	1
4	0.93	0	0	1
4	0.85	0	0	1
4	0.85	0	0	1
4	3.11	1	1	2
4	0.85	1	1	1
4	1.98	1	1	1
4	-1.33	0	1	2
4	3.03	1	1	2
4	2.95	1	1	2
4	1.9	1	1	1
4	0.12	0	0	1
4	-1.09	1	0	2
4	0.44	0	0	1
4	0.69	1	1	1
4	1.82	1	1	1
4	0.04	0	0	1
4	1.74	1	1	1
4	0.12	0	0	1
4	-1.58	0	1	2
4	0.28	0	0	1
4	1.58	1	1	1
4	2.87	1	1	2
4	0.44	0	0	1
4	0.53	0	0	1
4	2.71	1	1	2
4	-1.41	0	1	2
4	0.69	0	0	1
4	1.01	1	1	1
4	1.41	1	1	1
4	0.53	0	0	1
4	0.61	0	0	1
4	0.61	0	0	1
4	0.69	1	1	1
4	2.55	1	1	2
4	1.41	1	1	1
4	-0.85	0	1	2
4	1.41	0	0	1
4	1.58	1	1	1
4	1.58	1	1	1
4	0.44	0	0	1
4	2.46	0	0	2
4	0.44	0	0	1
4	1.41	1	1	1
4	-1.41	0	1	2
4	0.53	0	0	1
4	3.03	1	1	2
4	0.61	0	0	1
4	2.95	1	1	2
4	1.33	1	1	1
4	-1.17	0	1	2
4	2.79	1	1	2
4	0.61	0	0	1
4	1.25	0	0	1
4	-0.77	0	1	2
4	-0.44	0	1	2
4	2.63	1	1	2
4	0.69	0	0	1
4	0.69	0	0	1
4	-0.04	0	1	2
4	-0.12	1	0	2
4	0.77	0	0	1
4	2.63	0	0	2
4	3.19	1	1	2
4	1.09	0	0	1
4	1.01	0	0	1
4	3.11	1	1	2
4	1.01	0	0	1
4	1.01	0	0	1
4	1.09	0	0	1
4	-1.25	0	1	2
4	1.09	1	1	1
4	2.95	1	1	2
4	0.93	0	0	1
4	1.01	0	0	1
4	1.01	1	1	1
4	-1.09	0	1	2
4	2.79	1	1	2
4	0.85	0	0	1
4	0.93	0	0	1
4	-0.85	1	0	2
4	0.93	1	1	1
4	-1.41	0	1	2
4	1.49	1	1	1
4	2.79	1	1	2
4	-1.25	0	1	2
4	1.49	1	1	1
4	0.85	0	0	1
4	2.63	1	1	2
4	2.46	1	1	2
4	-1.01	0	1	2
4	0.85	0	0	1
4	2.14	1	1	2
4	1.25	1	1	2
4	1.33	1	1	2
4	1.01	1	1	2
4	1.01	1	1	2
4	0.93	1	1	2
4	0.85	0	0	2
4	0.85	1	1	1
4	1.33	1	1	2
4	1.49	0	0	1
4	1.58	0	0	1
4	1.66	1	1	1
4	1.17	1	1	2
4	1.66	1	1	1
4	1.09	1	1	2
4	1.01	1	1	2
4	0.93	1	1	2
4	0.77	1	1	2
4	1.66	1	1	1
4	1.66	1	1	1
4	4	1	1	1
4	0.77	0	0	2
4	1.09	0	0	2
4	-4	0	1	2
4	1.58	0	0	1
4	4	1	1	2
4	4	1	1	1
4	1.74	1	1	1
4	-4	0	1	1
4	4	1	1	1
4	-4	0	1	2
4	-4	0	1	2
4	-4	0	1	2
4	1.74	1	1	1
4	-4	0	1	1
4	-4	0	1	2
4	4	1	1	2
4	-4	0	1	1
4	4	1	1	2
4	1.74	1	1	1
4	4	1	1	2
4	0.69	0	0	1
4	-1.17	0	1	2
4	4	1	1	2
4	-4	0	1	2
4	4	1	1	2
4	0.69	0	0	1
4	4	1	1	1
4	0.69	0	0	1
4	-1.17	0	1	2
5	0.04	0	0	1
5	0.53	0	0	1
5	-0.04	0	1	2
5	0.36	0	0	1
5	1.09	1	1	1
5	0.04	0	0	1
5	0.53	0	0	2
5	1.33	1	1	1
5	0.36	0	0	2
5	1.33	1	1	1
5	1.09	1	1	2
5	0.04	0	0	2
5	1.33	1	1	2
5	1.33	1	1	2
5	0.2	0	0	1
5	0.85	0	0	1
5	1.41	1	1	1
5	0.2	1	1	2
5	-0.61	0	1	2
5	-0.53	0	1	2
5	1.49	1	1	2
5	-0.36	0	1	2
5	1.33	1	1	1
5	1.41	0	0	2
5	2.06	1	1	2
5	0.69	1	1	1
5	-0.53	0	1	2
5	1.9	1	1	2
5	1.82	1	1	2
5	-0.28	0	1	2
5	1.66	1	1	2
5	0.04	0	0	1
5	1.41	1	1	1
5	0.77	0	0	2
5	0.2	0	0	1
5	0.93	1	1	1
5	0.53	0	0	1
5	1.01	1	1	1
5	0.61	1	1	1
5	1.74	1	1	2
5	0.61	1	1	2
5	-0.28	0	1	2
5	1.66	1	1	2
5	-0.04	0	1	2
5	0.2	0	0	1
5	0.85	1	1	1
5	0.44	1	1	1
5	1.25	1	1	2
5	0.04	0	0	1
5	0.12	0	0	1
5	0.77	0	0	1
5	0.85	0	0	2
5	0.2	0	0	2
5	1.17	1	1	1
5	1.41	1	1	2
5	0.69	1	1	2
5	1.09	1	1	1
5	0.2	0	0	1
5	1.01	0	0	1
5	1.25	1	1	1
5	0.28	0	0	1
5	1.17	1	1	1
5	0.28	0	0	1
5	0.04	0	0	2
5	1.33	0	0	2
5	1.09	0	0	1
5	1.74	1	1	2
5	0.04	1	1	2
5	1.25	1	1	1
5	0.36	0	0	1
5	-0.36	0	1	2
5	1.17	1	1	1
5	1.82	1	1	2
5	-0.2	0	1	2
5	0.36	0	0	1
5	1.17	1	1	1
5	0.44	0	0	1
5	1.66	0	0	2
5	2.06	1	1	2
5	0.44	0	0	1
5	1.98	1	1	2
5	1.09	1	1	1
5	0.44	0	0	1
5	1.09	0	0	1
5	1.17	0	0	1
5	1.25	1	1	1
5	-0.28	0	1	2
5	1.82	1	1	2
5	-0.12	1	0	2
5	0.44	1	1	1
5	-0.44	0	1	2
5	-0.44	1	0	2
5	1.33	1	1	1
5	-0.77	0	1	2
5	1.25	0	0	1
5	1.49	1	1	1
5	2.06	1	1	2
5	-0.61	0	1	2
5	1.9	0	0	2
5	2.3	1	1	2
5	1.49	1	1	1
5	0.28	0	0	1
5	0.28	0	0	1
5	1.33	1	1	1
5	-0.69	0	1	2
