id	cue	alpha_deg	location	dir	resp	rerr
sj01	2	220	2	1	-1.77	0.673460952792061
sj01	2	270	4	-1	-0.35	-1.2207963267949
sj01	2	130	2	1	1.84	-0.428928027592628
sj01	2	180	2	1	-2.12	1.02159265358979
sj01	2	320	3	1	-0.38	0.318131700797732
sj01	1	50	4	1	1.22	0.347335374002835
sj01	2	330	1	1	0.37	0.8935987755983
sj01	2	90	4	1	1.57	-0.000796326794896496
sj01	2	300	1	-1	-1.96	0.912802448803402
sj01	2	80	3	1	1.87	0.473736598404537
sj01	1	270	2	1	-1.2	0.370796326794897
sj01	1	300	4	1	-0.29	0.757197551196598
sj01	1	120	2	-1	1.31	0.784395102393195
sj01	2	30	3	-1	-0.36	0.883598775598299
sj01	1	200	2	-1	2.75	0.740658503988659
sj01	2	110	4	-1	1.31	0.609862177193762
sj01	2	160	4	-1	1.79	1.00252680319093
sj01	2	130	3	1	-1.94	2.07425727958696
sj01	1	90	1	1	1.74	0.169203673205103
sj01	1	280	4	-1	-1.73	0.333736598404536
sj01	2	210	1	1	-1.92	0.697993877991494
sj01	2	90	4	-1	1.26	0.310796326794897
sj01	1	240	3	1	-1.96	0.134395102393196
sj01	2	0	2	1	0.49	0.49
sj01	2	20	2	1	0.34	-0.00906585039886587
sj01	2	100	3	1	1.78	0.0346707480056705
sj01	1	250	1	1	-1.47	0.449862177193763
sj01	2	90	2	1	1.8	0.229203673205103
sj01	1	340	4	-1	0	-0.349065850398866
sj01	1	290	1	-1	-1.65	0.428269523603969
sj01	1	210	3	1	-2.65	-0.0320061220085053
sj01	2	250	1	-1	-1.85	-0.0698621771937627
sj01	2	310	3	-1	-0.63	-0.242664625997165
sj01	2	200	1	1	-1.97	0.822526803190927
sj01	1	280	3	1	-1.4	-0.00373659840453631
sj01	1	230	2	1	-1.95	0.318928027592629
sj01	1	140	1	-1	2.49	-0.046539047207939
sj01	2	240	2	1	-1.67	0.424395102393196
sj01	1	140	3	-1	2.05	0.393460952792061
sj01	2	70	2	-1	0.27	0.951730476396031
sj01	2	30	1	1	1.29	0.766401224401701
sj01	1	250	2	1	-1.03	0.889862177193763
sj01	1	120	1	1	2.33	0.235604897606805
sj01	2	330	4	1	-2.36	-1.8364012244017
sj01	2	290	3	-1	-1.87	0.648269523603969
sj01	2	290	4	1	-1.21	0.0117304763960313
sj01	1	10	1	-1	-0.23	0.404532925199433
sj01	1	50	2	1	1.46	0.587335374002835
sj01	1	240	4	1	-1.62	0.474395102393196
sj01	2	90	1	1	1.93	0.359203673205103
sj01	2	260	2	-1	-2.23	0.484670748005671
sj01	1	70	2	-1	0.97	0.251730476396031
sj01	1	260	3	-1	-1.92	0.17467074800567
sj01	1	180	4	-1	1.87	1.27159265358979
sj01	2	170	3	-1	1.08	1.88705972839036
sj01	1	180	3	-1	-3.08	-0.0615926535897933
sj01	2	240	3	-1	-2.4	0.305604897606804
